role,URL,module,action,expected result,actual result,evidence
"Supervisor","http://127.0.0.1:18080/index.php?module=VEMSStockUsage&view=Detail&record=14","VEMSStockUsage","Open Detail view; inspect fields, links, related tabs, edit control","Fields readable; NO edit control; reference fields linked; related lists present","14 fields readable; edit control absent; 0 linked reference fields (FAIL #150: plain text); no related lists (FAIL #151); 1 PHP warning rendered (DETAILVIEWBASIC) (FAIL)","(page-text/data capture only; no image file)"
"Supervisor","http://127.0.0.1:18080/index.php?module=VEMSStockUsage&view=Import","VEMSStockUsage","Navigate directly to Import view","Denied","DENIED: ""Permission denied"" (PASS); no upload form","screenshots/supervisor_VEMSStockUsage_import-denied.png"
"Integration user","http://127.0.0.1:18080/index.php?module=HelpDesk&view=List","HelpDesk","Open List view","List opens with real rows and readable columns","PASS list opens, 1 row, columns populated","screenshots/integration_HelpDesk_list.png"
"Integration user","http://127.0.0.1:18080/index.php?module=HelpDesk&view=Detail&record=7","HelpDesk","Open Detail view; inspect fields, links, related tabs, edit control","Fields readable; edit control offered (only role expected to have one); reference fields linked; related lists present","9 fields readable; edit control PRESENT; 0 linked reference fields (FAIL #150: plain text); no related lists (FAIL #151); no PHP warning captured on the fetched page (FAIL)","(page-text/data capture only; no image file)"
"Integration user","http://127.0.0.1:18080/index.php?module=HelpDesk&view=Import","HelpDesk","Navigate directly to Import view","Denied","DENIED: ""Permission denied"" (PASS); no upload form","screenshots/integration_HelpDesk_import-denied.png"
"Integration user","http://127.0.0.1:18080/index.php?module=VEMSAssignments&view=List","VEMSAssignments","Open List view","List opens with real rows and readable columns","FAIL(#151) list opens, 1 row(s) but row cells and column headers are BLANK","(page-text/data capture only; no image file)"
"Integration user","http://127.0.0.1:18080/index.php?module=VEMSAssignments&view=Detail&record=8","VEMSAssignments","Open Detail view; inspect fields, links, related tabs, edit control","Fields readable; edit control offered (only role expected to have one); reference fields linked; related lists present","16 fields readable; edit control PRESENT; 0 linked reference fields (FAIL #150: plain text); no related lists (FAIL #151); 1 PHP warning rendered (DETAILVIEWBASIC) (FAIL)","(page-text/data capture only; no image file)"
"Integration user","http://127.0.0.1:18080/index.php?module=VEMSAssignments&view=Import","VEMSAssignments","Navigate directly to Import view","Denied","DENIED: ""Permission denied"" (PASS); no upload form","screenshots/integration_VEMSAssignments_import-denied.png"
"Integration user","http://127.0.0.1:18080/index.php?module=VEMSVehicles&view=List","VEMSVehicles","Open List view","List opens with real rows and readable columns","FAIL(#151) list opens, 10 row(s) but row cells and column headers are BLANK","(page-text/data capture only; no image file)"
"Integration user","http://127.0.0.1:18080/index.php?module=VEMSVehicles&view=Detail&record=4","VEMSVehicles","Open Detail view; inspect fields, links, related tabs, edit control","Fields readable; edit control offered (only role expected to have one); reference fields linked; related lists present","12 fields readable; edit control PRESENT; 0 linked reference fields (FAIL #150: plain text); no related lists (FAIL #151); 1 PHP warning rendered (DETAILVIEWBASIC) (FAIL)","(page-text/data capture only; no image file)"
"Integration user","http://127.0.0.1:18080/index.php?module=VEMSVehicles&view=Import","VEMSVehicles","Navigate directly to Import view","Denied","DENIED: ""Permission denied"" (PASS); no upload form","screenshots/integration_VEMSVehicles_import-denied.png"
"Integration user","http://127.0.0.1:18080/index.php?module=VEMSPersonnel&view=List","VEMSPersonnel","Open List view","List opens with real rows and readable columns","FAIL(#151) list opens, 2 row(s) but row cells and column headers are BLANK","(page-text/data capture only; no image file)"
"Integration user","http://127.0.0.1:18080/index.php?module=VEMSPersonnel&view=Detail&record=3","VEMSPersonnel","Open Detail view; inspect fields, links, related tabs, edit control","Fields readable; edit control offered (only role expected to have one); reference fields linked; related lists present","12 fields readable; edit control PRESENT; 0 linked reference fields (FAIL #150: plain text); no related lists (FAIL #151); 1 PHP warning rendered (DETAILVIEWBASIC) (FAIL)","(page-text/data capture only; no image file)"
"Integration user","http://127.0.0.1:18080/index.php?module=VEMSPersonnel&view=Import","VEMSPersonnel","Navigate directly to Import view","Denied","DENIED: ""Permission denied"" (PASS); no upload form","screenshots/integration_VEMSPersonnel_import-denied.png"
"Integration user","http://127.0.0.1:18080/index.php?module=VEMSAssignmentCrew&view=List","VEMSAssignmentCrew","Open List view","List opens with real rows and readable columns","FAIL(#151) list opens, 1 row(s) but row cells and column headers are BLANK","(page-text/data capture only; no image file)"
"Integration user","http://127.0.0.1:18080/index.php?module=VEMSAssignmentCrew&view=Detail&record=9","VEMSAssignmentCrew","Open Detail view; inspect fields, links, related tabs, edit control","Fields readable; edit control offered (only role expected to have one); reference fields linked; related lists present","12 fields readable; edit control PRESENT; 0 linked reference fields (FAIL #150: plain text); no related lists (FAIL #151); 1 PHP warning rendered (DETAILVIEWBASIC) (FAIL)","(page-text/data capture only; no image file)"
"Integration user","http://127.0.0.1:18080/index.php?module=VEMSAssignmentCrew&view=Import","VEMSAssignmentCrew","Navigate directly to Import view","Denied","DENIED: ""Permission denied"" (PASS); no upload form","screenshots/integration_VEMSAssignmentCrew_import-denied.png"
"Integration user","http://127.0.0.1:18080/index.php?module=VEMSStockItems&view=List","VEMSStockItems","Open List view","List opens with real rows and readable columns","FAIL(#151) list opens, 1 row(s) but row cells and column headers are BLANK","(page-text/data capture only; no image file)"
"Integration user","http://127.0.0.1:18080/index.php?module=VEMSStockItems&view=Detail&record=5","VEMSStockItems","Open Detail view; inspect fields, links, related tabs, edit control","Fields readable; edit control offered (only role expected to have one); reference fields linked; related lists present","14 fields readable; edit control PRESENT; 0 linked reference fields (FAIL #150: plain text); no related lists (FAIL #151); 1 PHP warning rendered (DETAILVIEWBASIC) (FAIL)","(page-text/data capture only; no image file)"
"Integration user","http://127.0.0.1:18080/index.php?module=VEMSStockItems&view=Import","VEMSStockItems","Navigate directly to Import view","Denied","DENIED: ""Permission denied"" (PASS); no upload form","screenshots/integration_VEMSStockItems_import-denied.png"
"Integration user","http://127.0.0.1:18080/index.php?module=VEMSVehicleStock&view=List","VEMSVehicleStock","Open List view","List opens with real rows and readable columns","FAIL(#151) list opens, 1 row(s) but row cells and column headers are BLANK","(page-text/data capture only; no image file)"
"Integration user","http://127.0.0.1:18080/index.php?module=VEMSVehicleStock&view=Detail&record=6","VEMSVehicleStock","Open Detail view; inspect fields, links, related tabs, edit control","Fields readable; edit control offered (only role expected to have one); reference fields linked; related lists present","16 fields readable; edit control PRESENT; 0 linked reference fields (FAIL #150: plain text); no related lists (FAIL #151); 1 PHP warning rendered (DETAILVIEWBASIC) (FAIL)","(page-text/data capture only; no image file)"
"Integration user","http://127.0.0.1:18080/index.php?module=VEMSVehicleStock&view=Import","VEMSVehicleStock","Navigate directly to Import view","Denied","DENIED: ""Permission denied"" (PASS); no upload form","screenshots/integration_VEMSVehicleStock_import-denied.png"
"Integration user","http://127.0.0.1:18080/index.php?module=VEMSStockUsage&view=List","VEMSStockUsage","Open List view","List opens with real rows and readable columns","FAIL(#151) list opens, 1 row(s) but row cells and column headers are BLANK","(page-text/data capture only; no image file)"
"Integration user","http://127.0.0.1:18080/index.php?module=VEMSStockUsage&view=Detail&record=14","VEMSStockUsage","Open Detail view; inspect fields, links, related tabs, edit control","Fields readable; edit control offered (only role expected to have one); reference fields linked; related lists present","14 fields readable; edit control PRESENT; 0 linked reference fields (FAIL #150: plain text); no related lists (FAIL #151); 1 PHP warning rendered (DETAILVIEWBASIC) (FAIL)","(page-text/data capture only; no image file)"
"Integration user","http://127.0.0.1:18080/index.php?module=VEMSStockUsage&view=Import","VEMSStockUsage","Navigate directly to Import view","Denied","DENIED: ""Permission denied"" (PASS); no upload form","screenshots/integration_VEMSStockUsage_import-denied.png"
"Integration user","http://127.0.0.1:18080/index.php?module=VEMSVehicles&view=Edit&record=4","VEMSVehicles","Real edit form: set vems_operational_status Available -> Out of Service, click Save (attempted twice)","Save denied by #148 mirror guard; mirror and canonical stay Available","DENIED: {""success"":false,""error"":{""code"":""V-EMS mirrored fields require the authenticated mirror write operation""}}. Vtiger detail after: Available. Canonical V-EMS after: Available. No divergence (PASS). Raw-JSON error page shown to the user (FAIL #151 UX)","screenshots/integration_VEMSVehicles_edit-form-before-save.png; screenshots/integration_VEMSVehicles_detail-after-denied-save.png; ui-write-before.json; ui-write-after.json (save-result page: text capture only, desktop image was blank)"
